mod-name,english-name,description,mod-lable,is-client,mcmod-url,project-id,source,,,,,,,,,,,,,
鸽子之家定制模块,dove home module,掌控mc的神,"科技,魔法,冒险,优化,辅助,实用,食物/农业,主线,自动化,其他,支线,前期,中期,后期,附属,LIB,魔改,装饰",0,,,,,,,,,,,,,,,,
机械动力,Create,mc掌控齿轮的神,"科技,主线,自动化,前期,中期,后期",0,https://www.mcmod.cn/class/2021.html,328085,cf,,,,,,,,,,,,,
机械动力: 附魔工业,Create Enchantment Industry,mc掌控附魔的神,"科技,支线,前期,中期,后期,附属",0,https://www.mcmod.cn/class/7892.html,688768,cf,,,,,,,,,,,,,
机械动力: 喷气背包,Create Jetpack,mc掌握反作用力的神,"科技,支线,中期,附属",0,https://www.mcmod.cn/class/7338.html,655608,cf,,,,,,,,,,,,,
机械动力: 装饰美学,Create Deco,mc掌握坤美的神,"附属,装饰",0,https://www.mcmod.cn/class/5189.html,509285,cf,,,,,,,,,,,,,
机械动力: 中央厨房,Create Central Kitchen,mc掌控你的胃垒,"科技,食物/农业,支线,附属",0,https://www.mcmod.cn/class/9151.html,820977,cf,,,,,,,,,,,,,
...,KubeJS Delight,mc修改农夫的神,"实用,附属",0,https://www.mcmod.cn/class/10454.html,864875,cf,,,,,,,,,,,,,
农夫乐事,Farmer's Delight,mc掌握美食的神,"食物/农业,支线",0,https://www.mcmod.cn/class/2820.html,398521,cf,,,,,,,,,,,,,
下界乐事,Nether's Delight,mc掌控猪人的胃垒,"食物/农业,支线,附属",0,https://www.mcmod.cn/class/4563.html,496394,cf,,,,,,,,,,,,,
末地乐事,End's Delight,mc掌握末影龙的胃蕾,"食物/农业,附属",0,https://www.mcmod.cn/class/6298.html,662675,cf,,,,,,,,,,,,,
玉米乐事,Corn Delight,mc赫鲁晓夫的驻地,"食物/农业,附属",0,https://www.mcmod.cn/class/5646.html,577805,cf,,,,,,,,,,,,,
多元乐事,Cultural Delights,mc美食杂货铺,"食物/农业,附属",0,https://www.mcmod.cn/class/5609.html,574622,cf,,,,,,,,,,,,,
屠宰工艺,Butchercraft,mc掌管小动物的神,"食物/农业,附属",0,https://www.mcmod.cn/class/9501.html,265715,cf,,,,,,,,,,,,,
凤梨乐事,Pineapple Delight,mc统一台台的神,"食物/农业,附属",0,https://www.mcmod.cn/class/7871.html,687974,cf,,,,,,,,,,,,,
压缩动力,Compressed Creativity,mc掌管压缩的神,"科技,主线,前期,中期,附属",0,https://www.mcmod.cn/class/6054.html,549381,cf,,,,,,,,,,,,,
气动工艺,PneumaticCraft: Repressurized,mc掌管气压的神,"科技,主线,前期,中期",0,https://www.mcmod.cn/class/270.html,281849,cf,,,,,,,,,,,,,
沉浸工程,Immersive Engineering,mc制衡美国的神,"科技,主线,中期",0,https://www.mcmod.cn/class/463.html,231951,cf,,,,,,,,,,,,,
mcjty的管道,XNet,mc掌控优化的神,"科技,优化,实用,自动化,可选,中期,后期",0,https://www.mcmod.cn/class/775.html,260912,cf,,,,,,,,,,,,,
管道,pipez,mc常规管道,"实用,自动化,前期",0,https://www.mcmod.cn/class/3532.html,443900,cf,,,,,,,,,,,,,
通用机械,Mekanism,mc掌管卡顿的神,"科技,主线,中期,后期",0,https://www.mcmod.cn/class/187.html,268560,cf,,,,,,,,,,,,,
通用机械发电机,Mekanism Generators,mc掌管发电机的神,"科技,主线,中期,后期,附属",0,https://www.mcmod.cn/class/1323.html,268566,cf,,,,,,,,,,,,,
通用机械工具,Mekanism Tools,,"科技,支线,附属",0,https://www.mcmod.cn/class/1615.html,268567,cf,,,,,,,,,,,,,
通用机械附加,Mekanism Addition,,"科技,支线,附属",0,https://www.mcmod.cn/class/2437.html,345425,cf,,,,,,,,,,,,,
玉,Jade,,辅助,0,https://www.mcmod.cn/class/3482.html,324717,cf,,,,,,,,,,,,,
...,Jade Addons,,"辅助,附属",0,https://www.mcmod.cn/class/5837.html,583345,cf,,,,,,,,,,,,,
...,KubeJS,,魔改,0,https://www.mcmod.cn/class/2450.html,238086,cf,,,,,,,,,,,,,
...,More Mekanism Processing,,"实用,附属",0,https://www.mcmod.cn/class/6484.html,511965,cf,,,,,,,,,,,,,
通用机械-更多太阳能板,Mekanism-MoreSolarPanels,,"实用,附属",0,https://www.mcmod.cn/class/9892.html,844063,cf,,,,,,,,,,,,,
...,ProbeJS,,"附属,魔改",0,https://www.mcmod.cn/class/6486.html,585406,cf,,,,,,,,,,,,,
...,PowerfulJS,,"附属,魔改",0,https://www.mcmod.cn/class/9223.html,819845,cf,,,,,,,,,,,,,
...,MoreJS,,"附属,魔改",0,https://www.mcmod.cn/class/8760.html,666198,cf,,,,,,,,,,,,,
...,KubeJS Ars Nouveau,,"附属,魔改",0,https://www.mcmod.cn/class/10284.html,833926,cf,,,,,,,,,,,,,
新生魔艺,Ars Nouveau,,"魔法,主线",0,https://www.mcmod.cn/class/3468.html,401955,cf,,,,,,,,,,,,,
...,Ars Creo,,"魔法,实用,附属",0,https://www.mcmod.cn/class/5617.html,575698,cf,,,,,,,,,,,,,
元素魔艺,Ars Elemental,,"魔法,实用,附属",0,https://www.mcmod.cn/class/6014.html,561470,cf,,,,,,,,,,,,,
...,Ars Énergistique,,"魔法,实用,附属",0,https://www.mcmod.cn/class/12603.html,905641,cf,,,,,,,,,,,,,
...,Powah! Rearchitected,,"科技,主线",0,https://www.mcmod.cn/class/6605.html,633483,cf,,,,,,,,,,,,,
...,KubeJS Powah,,"实用,附属",0,https://www.mcmod.cn/class/10365.html,838378,cf,,,,,,,,,,,,,
...,KubeJS Create,,"实用,附属",0,https://www.mcmod.cn/class/5157.html,429371,cf,,,,,,,,,,,,,
封包通用机械,PackagedMekemicals,,"科技,自动化,后期",0,https://www.mcmod.cn/class/9890.html,609886,cf,,,,,,,,,,,,,
封包合成,PackagedAuto,,"实用,自动化",0,https://www.mcmod.cn/class/2974.html,308380,cf,,,,,,,,,,,,,
封包合成拓展,PackagedExCrafting,,"实用,附属",0,https://www.mcmod.cn/class/2975.html,322861,cf,,,,,,,,,,,,,
合成拓展,Extended Crafting,,魔改,0,https://www.mcmod.cn/class/1602.html,268387,cf,,,,,,,,,,,,,
